id,Type,Source,Amount,Fee,Destination Platform Fee,Destination Platform Fee Currency,Net,Currency,Created (UTC),Available On (UTC),Description,Customer Facing Amount,Customer Facing Currency,Transfer,Transfer Date (UTC),Transfer Group
txn_3SJQwJGxzrUh3F1N06szzIlZ,charge,ch_3SJQwJGxzrUh3F1N09wTMxcy,3.99,0.45,,,3.54,nzd,2025-10-18 03:36,2025-10-24 00:00,Subscription update,3.99,nzd,,,
txn_1SJ7EAGxzrUh3F1NaZTI3cbd,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-10-17 06:33,2025-10-17 06:33,Billing - Usage Fee (2025-10-16),,,,,
txn_1SIjbjGxzrUh3F1NCy96izkU,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-10-16 05:20,2025-10-16 05:20,Billing - Usage Fee (2025-10-15),,,,,
txn_3SIeonGxzrUh3F1N0LIHSzS3,charge,ch_3SIeonGxzrUh3F1N0Reuh6z7,3.99,0.45,,,3.54,nzd,2025-10-16 00:13,2025-10-22 00:00,Subscription update,3.99,nzd,,,
txn_1SINl8GxzrUh3F1NQ6OTBJUu,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-10-15 06:00,2025-10-15 06:00,Billing - Usage Fee (2025-10-14),,,,,
txn_3SIMICGxzrUh3F1N1ClWEjWM,charge,ch_3SIMICGxzrUh3F1N1qU1iSXH,3.99,0.45,,,3.54,nzd,2025-10-15 04:26,2025-10-21 00:00,Subscription creation,3.99,nzd,,,
txn_1SI1XGGxzrUh3F1NO8BOM8E0,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-10-14 06:16,2025-10-14 06:16,Billing - Usage Fee (2025-10-13),,,,,
txn_3SHyd9GxzrUh3F1N0EJ7QbhC,charge,ch_3SHyd9GxzrUh3F1N0v4TsUpF,3.99,0.45,,,3.54,nzd,2025-10-14 03:10,2025-10-20 00:00,Subscription creation,3.99,nzd,,,
txn_3SHrs6GxzrUh3F1N1rlnRrlW,charge,ch_3SHrs6GxzrUh3F1N12CmmPsY,3.99,0.45,,,3.54,nzd,2025-10-13 19:57,2025-10-17 00:00,Subscription creation,3.99,nzd,,,
txn_1SDfJeGxzrUh3F1NVdycbRmU,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-10-02 05:44,2025-10-02 05:44,Billing - Usage Fee (2025-10-01),,,,,
txn_3SDLJfGxzrUh3F1N0VqCUT9V,charge,ch_3SDLJfGxzrUh3F1N0NbwwQPp,3.99,0.45,,,3.54,nzd,2025-10-01 08:23,2025-10-07 00:00,Subscription creation,3.99,nzd,,,
txn_1SB7ttGxzrUh3F1NP93Zwcc9,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-09-25 05:39,2025-09-25 05:39,Billing - Usage Fee (2025-09-24),,,,,
txn_1SB2yKGxzrUh3F1NkgHZkcN7,payout,po_1SB2yKGxzrUh3F1N0CM7oBFe,-16.37,0.00,,,-16.37,nzd,2025-09-25 00:23,2025-09-25 00:23,"",,,,,
txn_3SB1LUGxzrUh3F1N1FhbgxMK,charge,ch_3SB1LUGxzrUh3F1N12nS9hok,3.99,0.45,,,3.54,nzd,2025-09-24 22:39,2025-09-30 00:00,Subscription creation,3.99,nzd,,,
txn_1S9JLdGxzrUh3F1NOMgBe7dJ,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-09-20 05:28,2025-09-20 05:28,Billing - Usage Fee (2025-09-19),,,,,
